Student_ID,Linguistic,Musical,Bodily,Logical_Mathematical,Spatial_Visualization,Interpersonal,Intrapersonal,Naturalist
S142,10,6,12,18,14,6,12,18
S143,9,7,14,18,14,6,13,18
S144,8,8,12,18,12,9,11,18
S145,7,9,13,18,12,10,12,18
S146,6,5,12,18,12,9,14,18
S147,8,6,14,17,12,8,13,18
S148,7,7,12,17,12,7,11,18
S149,6,8,13,17,12,6,12,18
S150,9,9,11,17,12,6,14,18
S151,11,5,11,12,6,17,19,18
S152,12,5,14,14,9,20,19,18
S153,14,9,13,12,8,18,19,18
S154,13,8,11,13,7,19,19,18
S155,11,7,12,11,6,16,19,18
S156,12,6,14,12,8,15,19,18
S157,11,8,13,14,7,17,19,18
S158,11,7,11,12,6,20,19,18
S159,12,6,12,13,9,18,19,18
S160,14,9,11,11,6,19,19,18
S161,13,5,14,12,9,16,19,18
S162,11,5,13,14,8,15,19,18
S163,12,9,11,12,7,17,18,18
S164,11,8,12,13,6,20,18,18
S165,11,7,14,11,8,18,18,18
S166,12,6,13,12,7,19,18,18
S167,14,8,11,14,6,16,18,18
S168,13,7,12,12,9,15,18,17
S169,11,6,11,14,7,17,18,17
S170,12,9,11,12,9,20,18,17
S171,11,6,11,13,8,18,18,17
S172,11,9,14,11,7,19,18,17
S173,12,8,13,12,6,16,18,17
S174,14,7,11,14,8,15,18,17
S175,13,6,12,12,7,17,18,17
S176,11,8,14,13,6,20,18,17
S177,12,7,13,11,9,18,18,17
S178,11,6,11,12,7,19,18,17
S179,11,9,12,14,9,16,18,17
S180,12,7,11,12,8,15,18,17
S181,14,9,11,13,7,17,18,17
S182,13,8,14,11,6,20,18,17
S183,11,7,13,12,8,18,18,17
S184,12,6,11,14,7,19,18,17
S185,11,8,12,12,6,16,18,17
S186,11,7,14,14,9,15,18,17
S187,12,6,13,12,9,17,18,17
S188,14,9,11,13,9,20,17,17
S189,13,7,12,11,8,18,17,17
S190,11,7,14,12,7,19,17,19
S191,12,7,14,14,6,16,17,19
S192,11,9,11,12,8,15,17,19
S193,11,8,14,13,7,17,17,19
S194,12,7,13,11,9,20,17,19
S195,14,6,11,12,8,18,17,19
S196,13,8,12,14,7,19,17,19
S197,11,7,14,12,6,16,17,19
S198,12,6,13,13,8,15,17,19
S199,11,9,11,11,7,18,17,19
S200,13,10,12,12,6,15,17,19
S201,11,5,17,10,6,12,17,20
S202,12,5,20,10,6,12,17,18
S203,13,6,18,10,6,12,17,20
S204,14,6,19,10,6,12,17,15
S205,13,7,16,10,6,12,17,20
S206,12,7,15,10,6,12,17,16
S207,11,8,17,10,6,12,17,19
S208,11,8,20,10,6,12,17,18
S209,12,9,18,10,6,12,17,20
S210,13,9,19,10,6,12,17,19
S211,14,5,16,10,6,12,17,18
S212,13,5,15,10,6,12,17,17
S213,12,6,17,10,6,11,17,20
S214,11,6,20,10,6,11,17,18
S215,11,7,18,8,6,11,17,20
S216,12,7,19,8,6,11,17,15
S217,13,8,16,8,6,11,17,20
S218,14,8,15,8,5,11,17,16
S219,13,9,17,8,5,11,17,19
S220,12,9,20,8,5,11,19,18
S221,11,7,18,8,5,11,19,20
S222,11,5,19,8,5,11,19,19
S223,12,5,16,8,5,11,19,18
S224,13,6,15,6,5,11,19,17
S225,14,6,17,6,5,11,19,18
S226,13,7,20,6,5,11,19,20
S227,12,7,18,6,5,11,19,15
S228,11,8,19,6,5,13,19,20
S229,14,8,16,6,5,13,19,16
S230,12,9,15,6,5,13,19,19
S231,13,9,17,6,5,13,19,18
S232,14,8,20,6,5,13,19,20
S233,13,5,18,6,5,13,19,19
S234,12,5,19,6,5,13,19,18
S235,11,6,16,6,5,13,19,17
S236,11,6,15,6,8,13,19,18
S237,12,7,17,6,8,13,19,20
S238,13,7,17,6,8,13,19,15
S239,14,8,20,6,8,13,19,20
S240,13,8,18,6,8,13,18,16
S241,12,9,19,6,8,13,18,19
S242,11,5,16,7,8,14,18,18
S243,11,5,15,7,8,14,18,20
S244,12,6,17,7,8,14,18,19
S245,13,6,20,7,8,14,18,18
S246,14,7,18,7,8,14,18,17
S247,13,7,19,7,8,14,18,16
S248,12,8,16,7,8,14,18,15
S249,11,8,15,7,8,14,18,17
S250,14,9,18,7,8,14,18,18
S251,13,20,5,16,5,17,12,7
S252,12,17,6,16,6,17,12,5
S253,11,17,7,16,7,17,12,6
S254,11,18,8,16,8,17,12,7
S255,12,17,9,16,9,17,12,8
S256,13,17,10,16,6,17,12,9
S257,13,16,5,16,5,17,12,5
S258,12,15,5,16,6,17,12,6
S259,11,19,5,16,7,17,12,7
S260,11,20,6,16,8,17,12,8
S261,12,17,7,16,9,17,12,9
S262,13,17,8,17,5,18,13,8
S263,13,18,9,17,6,18,14,8
S264,12,17,7,17,7,18,11,8
S265,11,16,8,17,8,18,12,8
S266,11,20,9,17,9,18,13,8
S267,12,17,10,17,5,18,11,8
S268,13,17,9,17,6,18,12,8
S269,13,18,8,17,7,18,13,8
S270,12,17,5,17,8,18,12,8
S271,11,17,6,17,9,18,14,8
S272,11,16,7,17,5,18,13,8
S273,12,15,5,18,6,19,11,6
S274,13,19,6,18,7,19,14,6
S275,13,20,7,18,8,19,14,6
S276,12,17,8,18,9,19,14,6
S277,11,17,9,18,5,19,14,6
S278,11,18,10,18,6,19,14,6
S279,12,17,5,18,7,19,14,6
S280,13,20,6,18,8,19,14,6
S281,13,17,7,18,9,19,12,6
S282,12,17,8,18,8,19,14,6
S283,11,18,9,18,5,19,13,6
S284,11,17,10,18,6,19,11,5
S285,12,17,7,19,7,20,12,6
S286,13,16,8,19,8,20,12,7
S287,13,15,9,19,9,20,12,8
S288,12,19,10,18,8,20,12,9
S289,11,20,5,17,9,20,14,5
S290,11,17,6,17,5,20,13,6
S291,12,17,7,16,6,20,11,7
S292,13,18,8,15,7,20,12,8
S293,14,17,9,19,8,20,14,9
S294,13,17,10,20,9,20,13,7
S295,11,17,10,17,8,19,11,8
S296,12,17,10,17,9,15,12,9
S297,14,18,10,18,10,16,14,10
S298,13,20,10,17,5,17,13,8
S299,11,17,10,15,6,18,11,9
S300,11,18,10,17,7,19,13,10
S301,17,14,6,16,9,16,11,11
S302,16,11,6,17,9,15,12,12
S303,15,12,6,18,9,19,13,13
S304,19,13,6,19,9,20,14,14
S305,20,14,6,20,9,17,11,11
S306,17,11,6,15,9,16,12,12
S307,17,12,6,16,9,15,13,13
S308,16,13,6,17,9,19,14,14
S309,15,12,6,18,9,20,11,11
S310,19,14,6,19,9,17,12,12
S311,20,11,6,20,9,16,13,13
S312,17,12,6,15,9,15,14,14
S313,17,13,6,16,9,19,11,11
S314,16,14,6,17,9,20,12,12
S315,15,11,6,18,9,17,13,13
S316,19,12,6,19,9,16,14,14
S317,20,13,6,20,9,15,11,11
S318,17,12,6,15,9,19,12,12
S319,16,14,6,16,9,20,13,13
S320,17,11,6,17,9,16,14,14
S321,16,12,6,18,9,15,11,11
S322,15,13,6,19,9,19,12,12
S323,19,14,6,20,9,20,13,13
S324,20,11,6,15,9,17,14,14
S325,17,12,6,16,9,17,11,11
S326,17,13,7,17,9,17,12,12
S327,17,12,8,18,9,17,13,13
S328,16,14,9,19,9,17,14,14
S329,15,11,10,20,9,17,11,13
S330,19,12,8,20,9,20,12,11
S331,20,13,8,20,5,20,12,11
S332,17,14,8,20,6,20,12,11
S333,17,11,8,20,7,20,12,11
S334,16,12,8,20,8,20,12,11
S335,15,13,8,20,9,20,12,11
S336,19,12,8,20,10,20,12,11
S337,20,14,5,20,9,20,12,11
S338,17,11,6,20,9,20,12,11
S339,18,12,7,20,9,20,12,11
S340,17,13,8,20,9,20,12,11
S341,16,14,9,20,9,20,12,11
S342,15,11,10,20,9,20,12,11
S343,19,12,8,20,5,20,12,11
S344,20,13,8,20,6,20,12,11
S345,17,12,8,20,7,20,12,11
S346,17,14,8,20,8,20,12,11
S347,16,11,8,20,9,20,12,11
S348,15,12,8,20,10,20,12,11
S349,19,13,7,20,9,20,12,11
S350,20,14,6,20,9,20,12,11
S351,11,20,5,15,7,12,13,18
S352,12,15,6,16,5,13,13,19
S353,13,15,8,17,6,14,13,20
S354,14,17,9,18,8,12,13,17
S355,12,19,10,19,9,13,13,18
S356,13,20,9,16,10,14,13,18
S357,11,15,8,15,9,12,13,19
S358,12,15,7,16,8,13,13,20
S359,13,15,5,17,7,14,13,17
S360,14,15,6,18,5,12,13,18
S361,12,15,5,19,6,13,13,18
S362,13,15,6,20,5,12,13,19
S363,11,15,8,16,6,13,13,20
S364,12,16,9,16,8,14,13,17
S365,13,17,10,16,9,12,13,18
S366,14,18,9,16,10,13,13,18
S367,12,19,8,16,9,12,13,19
S368,13,20,7,16,8,13,13,20
S369,11,15,5,15,7,14,13,17
S370,12,15,6,16,5,12,13,18
S371,13,15,5,17,6,13,13,18
S372,14,15,6,18,5,12,13,19
S373,12,15,8,19,6,13,13,20
S374,13,15,9,18,8,14,13,17
S375,11,16,10,19,9,12,13,18
S376,12,18,9,20,10,13,14,18
S377,13,19,8,15,9,12,14,19
S378,14,20,7,16,8,13,14,20
S379,12,15,5,17,7,14,14,17
S380,13,16,6,18,5,12,14,18
S381,14,17,10,19,6,13,14,18
S382,12,18,5,20,10,11,14,19
S383,13,19,6,17,9,12,14,20
S384,14,20,7,18,8,13,14,17
S385,12,17,8,19,7,14,14,18
S386,13,18,9,20,6,12,14,18
S387,14,18,10,15,5,13,14,19
S388,12,19,5,18,10,11,14,20
S389,13,20,6,19,9,12,14,17
S390,14,15,7,20,8,13,14,18
S391,12,16,8,15,7,14,14,18
S392,13,17,9,16,6,12,14,19
S393,14,18,10,17,5,13,14,20
S394,12,19,5,18,10,11,14,17
S395,13,20,6,19,9,12,14,18
S396,14,17,7,20,8,13,14,18
S397,12,18,8,17,7,14,14,19
S398,13,19,9,18,6,12,14,20
S399,14,20,10,19,5,13,14,17
S400,12,15,8,20,5,11,14,18
S401,15,20,11,5,8,19,13,12
S402,16,17,12,6,9,19,14,13
S403,17,18,13,7,10,19,11,14
S404,18,19,14,8,5,19,12,11
S405,19,20,14,9,6,19,13,12
S406,20,20,13,10,8,19,14,13
S407,15,17,12,5,9,19,11,14
S408,15,18,11,6,10,19,12,11
S409,17,19,11,7,5,19,13,12
S410,18,20,12,8,6,19,14,13
S411,19,19,13,9,8,19,11,14
S412,20,20,14,10,9,19,12,11
S413,15,20,14,5,10,19,13,12
S414,16,20,13,6,5,19,14,13
S415,17,17,12,7,6,19,11,14
S416,18,18,11,8,8,19,12,11
S417,19,19,11,9,9,19,13,12
S418,20,20,12,10,10,19,14,13
S419,17,17,13,5,5,19,11,14
S420,18,18,14,6,6,19,12,11
S421,19,19,14,7,8,19,13,12
S422,20,20,13,8,9,19,14,13
S423,15,17,12,9,10,19,11,14
S424,15,18,11,10,5,19,12,11
S425,16,19,11,5,6,19,13,12
S426,17,20,12,6,8,17,14,13
S427,17,17,13,7,9,18,11,14
S428,18,18,14,8,10,19,12,11
S429,19,19,14,9,5,20,13,12
S430,20,20,13,10,6,19,14,13
S431,19,20,12,5,8,17,11,14
S432,20,20,11,6,9,18,12,11
S433,17,20,11,7,10,19,13,12
S434,18,17,12,8,5,20,14,13
S435,19,18,13,9,6,19,11,14
S436,20,19,14,10,8,17,12,11
S437,19,20,14,5,9,18,13,12
S438,20,19,13,6,10,19,14,13
S439,17,17,12,7,5,20,11,14
S440,18,18,11,8,6,19,12,11
S441,19,19,11,9,8,17,13,12
S442,20,20,12,5,9,18,14,13
S443,19,19,13,6,10,19,11,14
S444,20,17,14,7,5,20,12,11
S445,17,18,14,8,6,19,13,12
S446,18,19,13,9,8,17,14,13
S447,19,19,12,10,9,18,11,14
S448,20,20,11,6,10,19,12,11
S449,17,16,13,7,5,20,11,12
S450,15,18,14,8,6,16,13,14
S451,11,18,11,19,5,18,20,5
S452,13,19,13,17,6,19,18,6
S453,12,20,12,18,7,20,19,7
S454,14,19,14,19,8,17,20,8
S455,11,17,11,20,9,18,17,9
S456,13,18,13,19,10,18,18,10
S457,11,19,12,17,5,19,18,5
S458,13,20,14,18,6,20,19,6
S459,12,19,11,19,7,17,20,7
S460,14,17,13,20,8,18,17,8
S461,11,18,12,19,9,18,18,9
S462,13,19,14,17,10,19,18,10
S463,11,18,11,18,5,20,19,5
S464,13,19,13,19,6,17,20,6
S465,12,20,12,17,7,18,17,7
S466,14,19,14,18,8,18,18,8
S467,11,17,11,19,9,19,18,9
S468,13,18,13,20,10,20,19,10
S469,11,19,12,19,5,17,20,5
S470,13,20,14,17,6,19,17,6
S471,12,19,11,18,7,17,18,7
S472,14,17,13,19,8,16,18,8
S473,11,18,12,20,9,19,19,9
S474,13,19,14,19,10,17,20,10
S475,11,18,11,17,5,16,17,5
S476,13,19,13,18,6,19,18,6
S477,12,20,12,19,7,17,18,7
S478,14,19,14,17,8,16,19,8
S479,11,17,11,18,9,18,20,9
S480,13,18,13,19,10,19,17,10
S481,11,19,12,20,5,17,18,5
S482,13,20,14,19,6,16,18,6
S483,12,19,11,17,7,19,19,7
S484,14,17,13,18,8,17,20,8
S485,11,18,12,19,9,16,17,9
S486,13,19,14,20,10,18,18,10
S487,11,18,11,19,5,18,19,5
S488,13,19,13,17,6,18,19,6
S489,12,20,12,18,7,19,19,7
S490,14,19,14,19,8,20,19,8
S491,11,17,11,17,9,17,19,9
S492,13,18,13,18,5,18,19,5
S493,11,19,12,19,6,18,19,6
S494,13,20,14,20,7,19,19,7
S495,12,19,11,19,8,20,19,8
S496,14,17,13,17,9,17,17,9
S497,11,18,12,18,10,19,16,10
S498,13,19,14,19,6,17,19,6
S499,14,15,13,20,7,16,17,7
S500,11,17,14,19,8,18,16,8
S501,12,5,12,18,7,19,13,5
S502,13,6,13,16,7,17,13,5
S503,14,7,14,17,7,16,13,6
S504,11,8,11,18,7,17,13,6
S505,14,9,14,19,7,19,13,5
S506,12,10,12,20,8,17,13,5
S507,13,5,13,15,7,16,13,6
S508,12,6,14,16,7,19,13,6
S509,13,7,14,17,9,17,13,5
S510,14,8,11,18,7,16,13,5
S511,11,9,14,19,7,17,13,6
S512,14,10,12,20,7,19,13,6
S513,12,5,13,15,5,17,13,5
S514,13,6,12,16,6,19,13,5
S515,12,7,14,17,7,17,13,6
S516,13,8,11,18,8,16,13,6
S517,14,9,14,19,7,17,13,5
S518,11,10,12,20,7,19,13,5
S519,14,5,13,15,9,17,13,6
S520,12,6,12,16,7,19,13,6
S521,13,7,14,17,7,17,13,5
S522,12,8,11,18,10,16,13,5
S523,13,9,14,19,7,17,13,6
S524,14,10,12,20,7,19,13,6
S525,11,5,13,15,8,17,13,5
S526,14,6,12,16,7,19,12,5
S527,12,7,14,17,7,17,12,6
S528,13,8,11,18,9,16,12,6
S529,12,9,14,19,7,17,12,5
S530,13,10,12,20,8,19,12,5
S531,14,5,13,15,7,17,12,6
S532,11,6,12,16,7,19,12,6
S533,14,7,14,17,9,17,12,5
S534,12,8,11,18,7,16,12,5
S535,13,9,14,19,7,17,12,6
S536,12,10,12,20,7,19,12,6
S537,13,5,13,15,8,17,12,5
S538,14,6,12,16,7,19,12,5
S539,11,7,14,17,7,17,12,6
S540,14,8,11,18,9,16,12,6
S541,12,9,14,19,7,17,12,5
S542,13,5,12,20,7,19,12,5
S543,12,6,13,15,8,17,12,6
S544,13,7,12,16,7,19,12,6
S545,14,8,14,17,7,17,12,5
S546,11,9,11,18,9,16,12,5
S547,14,10,14,19,7,17,12,6
S548,12,6,12,20,7,19,12,6
S549,13,7,13,19,6,17,12,7
S550,14,8,12,20,5,18,12,7
S551,15,7,12,15,6,11,20,6
S552,16,6,13,16,5,11,15,6
S553,17,5,14,17,7,11,16,5
S554,18,7,11,18,6,11,17,5
S555,19,6,14,19,6,11,18,6
S556,20,5,12,20,5,11,19,6
S557,15,8,13,15,7,11,20,5
S558,16,7,12,16,6,11,15,5
S559,17,6,13,17,6,11,16,6
S560,18,5,14,18,5,11,17,6
S561,19,8,11,19,7,11,18,5
S562,20,7,14,20,6,11,19,6
S563,15,6,12,15,6,11,20,6
S564,16,5,13,16,5,12,15,5
S565,17,8,12,17,7,12,16,5
S566,18,7,13,18,6,12,17,6
S567,19,6,14,19,6,12,18,6
S568,20,5,11,20,5,12,19,5
S569,15,8,14,15,7,12,20,5
S570,16,7,12,16,6,12,15,6
S571,17,6,13,17,6,12,16,6
S572,18,5,12,18,5,12,17,5
S573,19,8,13,19,7,12,18,6
S574,20,7,14,20,6,12,19,6
S575,15,6,11,16,6,12,20,5
S576,16,5,14,15,5,12,15,5
S577,17,8,12,16,7,13,16,6
S578,18,7,13,17,6,13,17,6
S579,19,8,12,18,6,13,18,5
S580,20,9,13,19,5,13,19,5
S581,15,10,14,20,7,13,20,6
S582,16,5,11,15,6,13,15,6
S583,17,6,14,16,6,13,16,5
S584,18,7,12,17,5,13,17,6
S585,19,8,13,18,7,13,18,6
S586,20,9,12,19,6,13,19,5
S587,15,10,13,20,6,13,20,5
S588,16,5,14,15,5,13,15,6
S589,17,6,11,16,7,14,16,6
S590,18,7,14,17,6,14,17,5
S591,19,8,12,18,6,14,18,5
S592,20,9,13,19,5,14,19,6
S593,15,10,12,20,7,14,20,6
S594,16,5,13,15,6,14,15,5
S595,17,6,14,16,6,14,16,7
S596,18,7,11,17,5,14,17,7
S597,19,8,14,18,7,14,18,6
S598,20,9,12,19,6,14,19,5
S599,16,10,13,20,7,14,20,7
S600,17,8,14,17,9,14,16,7
S601,19,8,8,15,5,13,11,10
S602,20,5,9,16,6,13,12,5
S603,18,6,10,17,7,13,13,6
S604,17,5,5,18,8,13,14,7
S605,15,6,6,19,9,13,14,8
S606,20,5,7,20,5,13,13,9
S607,19,6,8,15,6,13,12,10
S608,18,5,9,16,7,13,12,5
S609,17,6,10,17,8,13,11,6
S610,19,5,8,18,9,13,11,7
S611,20,6,9,19,5,13,12,8
S612,18,5,10,20,6,13,13,9
S613,17,6,5,15,7,13,14,10
S614,15,5,6,16,8,12,14,5
S615,20,6,7,17,9,12,13,6
S616,19,5,8,18,5,12,12,7
S617,18,6,9,19,6,12,12,8
S618,17,5,10,20,7,12,11,9
S619,19,6,8,15,8,12,11,10
S620,20,5,9,16,9,12,12,5
S621,18,6,10,17,5,12,13,6
S622,17,5,5,18,6,12,14,7
S623,15,6,6,19,7,12,14,8
S624,20,5,7,20,8,12,13,9
S625,19,6,8,15,9,12,12,10
S626,18,5,9,16,5,12,12,5
S627,17,6,10,17,6,12,11,6
S628,16,5,8,18,7,11,11,7
S629,15,6,9,19,8,11,12,8
S630,19,5,10,20,9,11,13,9
S631,18,6,5,15,5,11,14,10
S632,17,5,6,16,6,11,14,5
S633,16,6,7,17,7,11,13,6
S634,15,5,8,18,8,11,12,7
S635,19,6,9,19,9,11,12,8
S636,18,5,10,20,5,11,11,9
S637,17,6,8,15,6,11,11,10
S638,16,5,9,16,7,11,12,5
S639,15,6,10,17,8,11,13,6
S640,19,5,5,18,9,13,14,7
S641,18,6,6,19,5,13,14,8
S642,17,5,7,20,6,13,13,9
S643,16,6,8,15,7,13,12,10
S644,15,5,9,16,8,13,12,5
S645,19,6,10,17,9,13,11,6
S646,18,5,6,18,5,13,11,7
S647,17,6,7,19,6,13,11,8
S648,16,5,8,20,7,13,11,9
S649,15,6,9,16,8,13,11,8
S650,19,7,10,17,9,13,11,9
S651,13,5,9,15,9,15,6,14
S652,12,6,9,15,9,16,6,14
S653,12,7,9,16,9,17,6,14
S654,12,8,9,16,9,20,6,14
S655,12,9,9,17,9,15,6,14
S656,12,10,9,17,9,17,6,14
S657,12,5,9,18,9,16,6,14
S658,12,6,9,18,9,15,6,14
S659,12,7,9,19,9,16,6,14
S660,12,8,9,19,9,17,9,14
S661,12,9,8,20,9,20,8,14
S662,12,10,8,20,9,15,8,14
S663,12,5,8,15,9,17,8,14
S664,12,6,8,15,9,16,8,14
S665,12,7,8,16,9,15,8,14
S666,11,8,6,16,9,16,6,14
S667,11,9,6,17,9,17,6,14
S668,11,10,6,17,8,20,6,14
S669,11,5,6,18,8,15,6,14
S670,11,6,6,18,8,17,6,14
S671,11,7,6,19,8,16,6,14
S672,11,8,6,19,8,15,6,14
S673,11,9,6,20,8,16,6,14
S674,11,10,5,20,8,17,5,14
S675,11,5,5,15,8,20,5,14
S676,11,6,5,15,8,15,5,14
S677,11,7,5,16,8,17,9,14
S678,13,8,5,16,8,16,8,14
S679,13,9,5,17,8,16,8,14
S680,13,10,10,17,8,15,8,14
S681,13,5,10,18,8,16,8,14
S682,13,6,10,18,8,17,8,14
S683,13,7,10,19,8,20,6,14
S684,13,8,10,19,8,15,6,14
S685,13,9,10,20,8,17,6,14
S686,13,10,10,20,8,16,6,14
S687,13,5,10,15,8,16,6,14
S688,13,6,5,15,8,15,6,14
S689,11,7,5,16,8,16,6,14
S690,12,8,6,16,8,17,6,14
S691,13,9,6,17,8,20,5,14
S692,14,10,7,17,7,15,5,14
S693,14,5,7,18,7,16,5,14
S694,13,6,5,18,7,15,6,14
S695,12,7,5,19,7,16,7,14
S696,11,8,6,19,7,17,5,14
S697,14,9,6,20,7,20,5,14
S698,13,10,7,20,7,15,5,14
S699,12,10,7,15,7,17,6,14
S700,11,9,6,16,7,16,7,14
S701,14,13,5,15,7,16,16,8
S702,12,12,6,15,5,20,15,9
S703,11,11,7,15,6,19,16,10
S704,13,11,8,15,7,15,17,5
S705,12,13,9,15,5,17,20,6
S706,11,13,10,15,5,16,16,7
S707,11,12,5,15,6,20,15,8
S708,13,11,6,15,7,19,16,9
S709,12,11,7,15,5,15,17,10
S710,14,13,8,15,5,17,20,5
S711,14,13,9,15,6,16,16,6
S712,12,12,10,15,7,20,15,7
S713,11,11,5,15,5,19,16,8
S714,13,11,6,15,5,15,17,9
S715,12,13,7,16,6,17,20,10
S716,11,13,8,16,7,16,16,5
S717,11,12,9,17,5,20,15,6
S718,13,11,10,17,5,19,16,7
S719,12,11,5,18,6,15,17,8
S720,14,13,6,18,7,17,16,9
S721,14,13,7,15,5,16,15,10
S722,12,12,8,15,5,20,16,5
S723,11,11,9,16,6,19,17,6
S724,13,11,10,16,7,15,20,7
S725,12,13,5,17,5,17,16,8
S726,11,13,6,17,5,16,15,9
S727,11,12,7,18,6,20,16,10
S728,13,11,8,18,7,19,17,5
S729,12,11,9,15,5,15,20,6
S730,14,13,10,15,5,17,16,7
