Sr_No,Job_Profession,Student,Linguistic,Musical,Bodily,Logical_Mathematical,Spatial_Visualization,Interpersonal,Intrapersonal,Naturalist,Student_ID,P1,P2,P3,P4,P5,P6,P7,P8,Dominant_Intelligence,Average_Intelligence_Score,Average_Performance,Performance_Category
2,Data Scientist,S52,12,5,16,19,14,7,12,20,S52,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.12,2.12,Good
2,Data Scientist,S53,13,6,15,19,13,8,12,20,S53,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.25,2.12,Good
2,Data Scientist,S54,14,7,19,19,12,9,12,20,S54,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,14.0,2.12,Good
2,Data Scientist,S55,13,8,20,19,11,8,12,20,S55,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.88,2.12,Good
2,Data Scientist,S56,12,9,17,19,14,5,12,20,S56,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.5,2.12,Good
2,Data Scientist,S57,11,8,17,19,11,6,12,20,S57,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.0,2.12,Good
2,Data Scientist,S58,14,5,18,19,12,7,12,20,S58,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.38,2.12,Good
2,Data Scientist,S59,11,6,17,19,13,8,12,20,S59,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.25,2.12,Good
2,Data Scientist,S60,12,7,17,19,13,9,12,20,S60,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.62,2.12,Good
2,Data Scientist,S61,13,8,16,19,14,8,13,20,S61,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.88,2.12,Good
2,Data Scientist,S62,14,9,15,15,13,5,13,20,S62,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.0,2.12,Good
2,Data Scientist,S63,13,8,19,15,12,6,13,20,S63,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.25,2.12,Good
2,Data Scientist,S64,12,5,20,15,11,7,13,20,S64,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,12.88,2.12,Good
2,Data Scientist,S65,11,6,17,15,14,8,13,20,S65,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.0,2.12,Good
2,Data Scientist,S66,14,7,17,15,11,9,13,20,S66,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.25,2.12,Good
2,Data Scientist,S67,11,8,18,15,12,8,13,20,S67,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.12,2.12,Good
2,Data Scientist,S68,12,9,17,15,13,5,13,18,S68,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,12.75,2.12,Good
2,Data Scientist,S69,13,8,17,15,13,6,13,18,S69,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,12.88,2.12,Good
2,Data Scientist,S70,14,5,16,15,14,7,13,18,S70,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,12.75,2.12,Good
2,Data Scientist,S71,13,6,15,15,13,8,13,18,S71,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,12.62,2.12,Good
2,Data Scientist,S72,12,7,19,18,12,9,13,18,S72,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.5,2.12,Good
2,Data Scientist,S73,11,8,20,18,11,8,11,18,S73,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.12,2.12,Good
2,Data Scientist,S74,14,9,17,18,14,5,11,18,S74,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.25,2.12,Good
2,Data Scientist,S75,11,8,17,18,11,6,11,18,S75,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.5,2.12,Good
2,Data Scientist,S76,12,5,18,18,12,7,11,18,S76,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,12.62,2.12,Good
2,Data Scientist,S77,13,6,17,18,13,8,11,18,S77,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.0,2.12,Good
2,Data Scientist,S78,14,7,17,18,13,9,11,18,S78,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.38,2.12,Good
2,Data Scientist,S79,13,8,16,18,14,8,11,18,S79,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.25,2.12,Good
2,Data Scientist,S80,12,9,15,18,13,5,11,18,S80,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,2.12,Good
2,Data Scientist,S81,11,8,19,18,12,6,11,18,S81,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,12.88,2.12,Good
2,Data Scientist,S82,14,5,20,18,11,7,11,18,S82,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.0,2.12,Good
2,Data Scientist,S83,11,6,17,18,14,8,11,18,S83,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.88,2.12,Good
2,Data Scientist,S84,12,7,17,18,11,9,11,17,S84,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.75,2.12,Good
2,Data Scientist,S85,13,8,18,18,12,8,11,17,S85,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.12,2.12,Good
2,Data Scientist,S86,14,9,17,18,13,5,11,17,S86,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.0,2.12,Good
2,Data Scientist,S87,13,8,17,18,13,6,14,17,S87,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.25,2.12,Good
2,Data Scientist,S88,12,5,16,18,14,7,14,17,S88,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.88,2.12,Good
2,Data Scientist,S89,11,6,15,18,13,8,14,17,S89,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.75,2.12,Good
2,Data Scientist,S90,14,7,19,19,12,9,14,17,S90,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.88,2.12,Good
2,Data Scientist,S91,11,8,20,19,11,8,14,17,S91,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.5,2.12,Good
2,Data Scientist,S92,12,9,17,19,14,5,14,17,S92,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.38,2.12,Good
2,Data Scientist,S93,13,8,17,19,11,6,14,17,S93,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.12,2.12,Good
2,Data Scientist,S94,14,5,18,19,12,7,14,17,S94,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.25,2.12,Good
2,Data Scientist,S95,13,6,17,19,11,8,14,17,S95,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.12,2.12,Good
2,Data Scientist,S96,12,7,16,19,12,9,14,17,S96,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.25,2.12,Good
2,Data Scientist,S97,11,8,15,19,13,8,14,17,S97,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.12,2.12,Good
2,Data Scientist,S98,14,9,19,19,14,5,14,17,S98,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.88,2.12,Good
2,Data Scientist,S99,11,7,20,19,13,9,14,17,S99,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Bodily,13.75,2.12,Good
2,Data Scientist,S100,12,6,17,19,12,7,14,17,S100,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,13.0,2.12,Good
3,Cloud Engineer,S101,5,6,11,20,12,7,13,19,S101,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.62,1.88,Average
3,Cloud Engineer,S102,6,5,12,20,12,9,13,19,S102,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S103,7,6,14,20,12,10,11,19,S103,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S104,8,7,12,20,12,9,12,19,S104,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S105,9,8,13,20,12,8,14,19,S105,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.88,1.88,Average
3,Cloud Engineer,S106,10,9,11,20,12,7,12,19,S106,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.5,1.88,Average
3,Cloud Engineer,S107,9,8,12,20,12,6,13,19,S107,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S108,8,5,14,20,12,6,11,19,S108,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.88,1.88,Average
3,Cloud Engineer,S109,7,6,12,20,12,9,12,19,S109,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.12,1.88,Average
3,Cloud Engineer,S110,6,7,13,20,12,10,14,19,S110,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S111,6,8,11,20,12,9,13,19,S111,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S112,7,9,12,20,12,8,11,19,S112,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S113,8,5,14,20,12,7,12,19,S113,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.12,1.88,Average
3,Cloud Engineer,S114,9,6,12,20,12,6,14,19,S114,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S115,10,7,13,20,12,6,12,19,S115,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S116,9,8,11,20,12,9,13,19,S116,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S117,8,9,12,20,12,10,11,19,S117,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S118,7,8,14,20,12,9,12,19,S118,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S119,6,5,12,20,12,8,14,19,S119,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S120,6,6,13,19,12,7,13,19,S120,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.88,1.88,Average
3,Cloud Engineer,S121,7,7,11,19,12,6,11,19,S121,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.5,1.88,Average
3,Cloud Engineer,S122,8,8,12,19,12,6,12,19,S122,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S123,9,9,14,19,11,9,14,16,S123,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S124,10,5,12,19,11,10,12,16,S124,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.88,1.88,Average
3,Cloud Engineer,S125,9,6,13,19,11,9,13,16,S125,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S126,8,7,11,19,11,8,11,16,S126,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.38,1.88,Average
3,Cloud Engineer,S127,7,8,12,19,11,7,12,16,S127,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.5,1.88,Average
3,Cloud Engineer,S128,6,9,14,19,11,6,14,16,S128,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.88,1.88,Average
3,Cloud Engineer,S129,6,8,12,19,11,6,13,16,S129,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.38,1.88,Average
3,Cloud Engineer,S130,7,5,13,19,11,9,11,16,S130,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.38,1.88,Average
3,Cloud Engineer,S131,8,6,11,19,11,10,12,16,S131,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.62,1.88,Average
3,Cloud Engineer,S132,9,7,12,19,11,9,14,16,S132,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.12,1.88,Average
3,Cloud Engineer,S133,10,8,14,19,14,8,12,16,S133,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S134,9,9,12,18,14,7,13,16,S134,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S135,8,5,13,18,14,6,11,16,S135,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.38,1.88,Average
3,Cloud Engineer,S136,7,6,11,18,14,6,12,18,S136,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.5,1.88,Average
3,Cloud Engineer,S137,6,7,12,18,14,9,14,18,S137,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S138,6,8,14,18,14,10,13,18,S138,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.62,1.88,Average
3,Cloud Engineer,S139,7,9,12,18,14,9,11,18,S139,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.25,1.88,Average
3,Cloud Engineer,S140,8,8,13,18,14,8,12,18,S140,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S141,9,5,11,18,14,7,14,18,S141,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S142,10,6,12,18,14,6,12,18,S142,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S143,9,7,14,18,14,6,13,18,S143,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S144,8,8,12,18,12,9,11,18,S144,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.0,1.88,Average
3,Cloud Engineer,S145,7,9,13,18,12,10,12,18,S145,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,12.38,1.88,Average
3,Cloud Engineer,S146,6,5,12,18,12,9,14,18,S146,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Logical_Mathematical,11.75,1.88,Average
3,Cloud Engineer,S147,8,6,14,17,12,8,13,18,S147,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Naturalist,12.0,1.88,Average
3,Cloud Engineer,S148,7,7,12,17,12,7,11,18,S148,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Naturalist,11.38,1.88,Average
3,Cloud Engineer,S149,6,8,13,17,12,6,12,18,S149,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Naturalist,11.5,1.88,Average
3,Cloud Engineer,S150,9,9,11,17,12,6,14,18,S150,POOR,POOR,AVG,BEST,AVG,POOR,AVG,BEST,Naturalist,12.0,1.88,Average
4,DevOps Engineer,S151,11,5,11,12,6,17,19,18,S151,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,12.38,2.12,Good
4,DevOps Engineer,S152,12,5,14,14,9,20,19,18,S152,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Interpersonal,13.88,2.12,Good
4,DevOps Engineer,S153,14,9,13,12,8,18,19,18,S153,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,13.88,2.12,Good
4,DevOps Engineer,S154,13,8,11,13,7,19,19,18,S154,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Interpersonal,13.5,2.12,Good
4,DevOps Engineer,S155,11,7,12,11,6,16,19,18,S155,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,12.5,2.12,Good
4,DevOps Engineer,S156,12,6,14,12,8,15,19,18,S156,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,13.0,2.12,Good
4,DevOps Engineer,S157,11,8,13,14,7,17,19,18,S157,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,13.38,2.12,Good
4,DevOps Engineer,S158,11,7,11,12,6,20,19,18,S158,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Interpersonal,13.0,2.12,Good
4,DevOps Engineer,S159,12,6,12,13,9,18,19,18,S159,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,13.38,2.12,Good
4,DevOps Engineer,S160,14,9,11,11,6,19,19,18,S160,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Interpersonal,13.38,2.12,Good
4,DevOps Engineer,S161,13,5,14,12,9,16,19,18,S161,AVG,POOR,AVG,AVG,POOR,BEST,BEST,BEST,Intrapersonal,13.25,2.12,Good
