Student_ID,Job_Profession,Dominant_Intelligence,Average_Intelligence_Score,Average_Performance,Performance_Category
S132,Marine Biologist,Logical_Mathematical,12.12,1.88,Average
S133,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S134,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S135,Marine Biologist,Logical_Mathematical,11.38,1.88,Average
S136,Marine Biologist,Logical_Mathematical,11.5,1.88,Average
S137,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S138,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S139,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S140,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S141,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S142,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S143,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S144,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S145,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S146,Marine Biologist,Logical_Mathematical,11.75,1.88,Average
S147,Marine Biologist,Naturalist,12.0,1.88,Average
S148,Marine Biologist,Naturalist,11.38,1.88,Average
S149,Marine Biologist,Naturalist,11.5,1.88,Average
S150,Marine Biologist,Naturalist,12.0,1.88,Average
S151,Veterinarian,Intrapersonal,12.38,2.12,Good
S152,Veterinarian,Interpersonal,13.88,2.12,Good
S153,Veterinarian,Intrapersonal,13.88,2.12,Good
S154,Veterinarian,Interpersonal,13.5,2.12,Good
S155,Veterinarian,Intrapersonal,12.5,2.12,Good
S156,Veterinarian,Intrapersonal,13.0,2.12,Good
S157,Veterinarian,Intrapersonal,13.38,2.12,Good
S158,Veterinarian,Interpersonal,13.0,2.12,Good
S159,Veterinarian,Intrapersonal,13.38,2.12,Good
S160,Veterinarian,Interpersonal,13.38,2.12,Good
S161,Veterinarian,Intrapersonal,13.25,2.12,Good
S162,Veterinarian,Intrapersonal,12.88,2.12,Good
S163,Veterinarian,Intrapersonal,13.0,2.12,Good
S164,Veterinarian,Interpersonal,13.25,2.12,Good
S165,Veterinarian,Interpersonal,13.12,2.12,Good
S166,Veterinarian,Interpersonal,13.12,2.12,Good
S167,Veterinarian,Intrapersonal,13.12,2.12,Good
S168,Veterinarian,Intrapersonal,12.88,2.12,Good
S169,Veterinarian,Intrapersonal,12.62,2.12,Good
S170,Veterinarian,Interpersonal,13.5,2.12,Good
S171,Veterinarian,Interpersonal,12.75,2.12,Good
S172,Veterinarian,Interpersonal,13.25,2.12,Good
S173,Veterinarian,Intrapersonal,12.75,2.12,Good
S174,Veterinarian,Intrapersonal,13.0,2.12,Good
S175,Veterinarian,Intrapersonal,12.75,2.12,Good
S176,Veterinarian,Interpersonal,13.38,2.12,Good
S177,Veterinarian,Interpersonal,13.12,2.12,Good
S178,Veterinarian,Interpersonal,12.62,2.12,Good
S179,Veterinarian,Intrapersonal,13.25,2.12,Good
S180,Veterinarian,Intrapersonal,12.5,2.12,Good
S181,Veterinarian,Intrapersonal,13.25,2.12,Good
S182,Veterinarian,Interpersonal,13.38,2.12,Good
S183,Veterinarian,Interpersonal,13.0,2.12,Good
S184,Veterinarian,Interpersonal,13.0,2.12,Good
S185,Veterinarian,Intrapersonal,12.5,2.12,Good
S186,Veterinarian,Intrapersonal,13.12,2.12,Good
S187,Veterinarian,Intrapersonal,13.0,2.12,Good
S188,Veterinarian,Interpersonal,13.75,2.12,Good
S189,Veterinarian,Interpersonal,12.88,2.12,Good
S190,Veterinarian,Interpersonal,13.25,2.12,Good
S191,Veterinarian,Naturalist,13.12,2.12,Good
S192,Veterinarian,Naturalist,12.75,2.12,Good
S193,Veterinarian,Naturalist,13.25,2.12,Good
S194,Veterinarian,Interpersonal,13.5,2.12,Good
S195,Veterinarian,Naturalist,13.12,2.12,Good
S196,Veterinarian,Interpersonal,13.62,2.12,Good
S197,Veterinarian,Naturalist,12.75,2.12,Good
S198,Veterinarian,Naturalist,12.88,2.12,Good
S199,Veterinarian,Naturalist,12.88,2.12,Good
S200,Veterinarian,Naturalist,13.0,2.12,Good
S201,Nature photographer,Naturalist,12.25,2.0,Good
S202,Nature photographer,Bodily,12.5,2.0,Good
S203,Nature photographer,Naturalist,12.75,2.0,Good
S204,Nature photographer,Bodily,12.38,2.0,Good
S205,Nature photographer,Naturalist,12.62,2.0,Good
S206,Nature photographer,Intrapersonal,11.88,2.0,Good
S207,Nature photographer,Naturalist,12.5,2.0,Good
S208,Nature photographer,Bodily,12.75,2.0,Good
S209,Nature photographer,Naturalist,13.0,2.0,Good
S210,Nature photographer,Bodily,13.12,2.0,Good
S211,Nature photographer,Naturalist,12.25,2.0,Good
S212,Nature photographer,Intrapersonal,11.88,2.0,Good
S213,Nature photographer,Naturalist,12.38,2.0,Good
S214,Nature photographer,Bodily,12.38,2.0,Good
S215,Nature photographer,Naturalist,12.25,2.0,Good
S216,Nature photographer,Bodily,11.88,2.0,Good
S217,Nature photographer,Naturalist,12.38,2.0,Good
S218,Nature photographer,Intrapersonal,11.75,2.0,Good
S219,Nature photographer,Naturalist,12.38,2.0,Good
S220,Nature photographer,Bodily,12.75,2.0,Good
S221,Nature photographer,Naturalist,12.38,2.0,Good
S222,Nature photographer,Bodily,12.12,2.0,Good
S223,Nature photographer,Intrapersonal,11.75,2.0,Good
S224,Nature photographer,Intrapersonal,11.5,2.0,Good
S225,Nature photographer,Intrapersonal,12.0,2.0,Good
S226,Nature photographer,Bodily,12.62,2.0,Good
S227,Nature photographer,Intrapersonal,11.62,2.0,Good
S228,Nature photographer,Naturalist,12.62,2.0,Good
S229,Nature photographer,Intrapersonal,12.12,2.0,Good
S230,Nature photographer,Intrapersonal,12.25,2.0,Good
S231,Nature photographer,Intrapersonal,12.5,2.0,Good
S232,Nature photographer,Bodily,13.12,2.0,Good
S233,Nature photographer,Intrapersonal,12.25,2.0,Good
S234,Nature photographer,Bodily,12.12,2.0,Good
S235,Nature photographer,Intrapersonal,11.62,2.0,Good
S236,Nature photographer,Intrapersonal,12.0,2.0,Good
S237,Nature photographer,Naturalist,12.75,2.0,Good
S238,Nature photographer,Intrapersonal,12.25,2.0,Good
S239,Nature photographer,Bodily,13.5,2.0,Good
S240,Nature photographer,Bodily,12.5,2.0,Good
S241,Nature photographer,Bodily,13.0,2.0,Good
S242,Nature photographer,Intrapersonal,12.12,2.0,Good
S243,Nature photographer,Naturalist,12.25,2.0,Good
S244,Nature photographer,Naturalist,12.62,2.0,Good
S245,Nature photographer,Bodily,13.0,2.0,Good
S246,Nature photographer,Bodily,12.88,2.0,Good
S247,Nature photographer,Bodily,12.75,2.0,Good
S248,Nature photographer,Intrapersonal,12.25,2.0,Good
S249,Nature photographer,Intrapersonal,12.25,2.0,Good
S250,Nature photographer,Bodily,13.25,2.0,Good
S251,Recording engineer,Musical,11.88,2.0,Good
S252,Recording engineer,Musical,11.38,2.0,Good
S253,Recording engineer,Musical,11.62,2.0,Good
S254,Recording engineer,Musical,12.12,2.0,Good
S255,Recording engineer,Musical,12.5,2.0,Good
S256,Recording engineer,Musical,12.5,2.0,Good
S257,Recording engineer,Interpersonal,11.12,2.0,Good
S258,Recording engineer,Interpersonal,11.12,2.0,Good
S259,Recording engineer,Musical,11.75,2.0,Good
S260,Recording engineer,Musical,12.25,2.0,Good
S261,Recording engineer,Musical,12.38,2.0,Good
S262,Recording engineer,Interpersonal,12.38,2.0,Good
S263,Recording engineer,Musical,12.88,2.0,Good
S264,Recording engineer,Interpersonal,12.12,2.0,Good
S265,Recording engineer,Interpersonal,12.25,2.0,Good
S266,Recording engineer,Musical,13.12,2.0,Good
S267,Recording engineer,Interpersonal,12.25,2.0,Good
S268,Recording engineer,Interpersonal,12.5,2.0,Good
S269,Recording engineer,Musical,12.75,2.0,Good
S270,Recording engineer,Interpersonal,12.12,2.0,Good
S271,Recording engineer,Interpersonal,12.5,2.0,Good
S272,Recording engineer,Interpersonal,11.88,2.0,Good
S273,Recording engineer,Interpersonal,11.5,2.0,Good
S274,Recording engineer,Musical,12.75,2.0,Good
S275,Recording engineer,Musical,13.12,2.0,Good
S276,Recording engineer,Interpersonal,12.88,2.0,Good
S277,Recording engineer,Interpersonal,12.38,2.0,Good
S278,Recording engineer,Interpersonal,12.75,2.0,Good
S279,Recording engineer,Interpersonal,12.25,2.0,Good
S280,Recording engineer,Musical,13.0,2.0,Good
S281,Recording engineer,Interpersonal,12.62,2.0,Good
S282,Recording engineer,Interpersonal,12.75,2.0,Good
S283,Recording engineer,Interpersonal,12.38,2.0,Good
S284,Recording engineer,Interpersonal,12.12,2.0,Good
S285,Recording engineer,Interpersonal,12.5,2.0,Good
S286,Recording engineer,Interpersonal,12.88,2.0,Good
S287,Recording engineer,Interpersonal,13.12,2.0,Good
S288,Recording engineer,Interpersonal,13.5,2.0,Good
S289,Recording engineer,Musical,12.62,2.0,Good
S290,Recording engineer,Interpersonal,11.88,2.0,Good
S291,Recording engineer,Interpersonal,12.0,2.0,Good
S292,Recording engineer,Interpersonal,12.62,2.0,Good
S293,Recording engineer,Interpersonal,13.75,2.0,Good
S294,Recording engineer,Logical_Mathematical,13.62,2.0,Good
S295,Recording engineer,Interpersonal,12.62,2.0,Good
S296,Recording engineer,Musical,12.62,2.0,Good
S297,Recording engineer,Musical,13.75,2.0,Good
S298,Recording engineer,Musical,12.88,2.0,Good
S299,Recording engineer,Interpersonal,12.12,2.0,Good
S300,Recording engineer,Interpersonal,13.12,2.0,Good
S301,Audiologist,Linguistic,12.5,2.12,Good
S302,Audiologist,Logical_Mathematical,12.25,2.12,Good
S303,Audiologist,Interpersonal,13.12,2.12,Good
S304,Audiologist,Interpersonal,14.25,2.12,Good
S305,Audiologist,Linguistic,13.5,2.12,Good
S306,Audiologist,Linguistic,12.25,2.12,Good
S307,Audiologist,Linguistic,12.62,2.12,Good
S308,Audiologist,Interpersonal,13.5,2.12,Good
S309,Audiologist,Interpersonal,12.75,2.12,Good
S310,Audiologist,Linguistic,13.5,2.12,Good
S311,Audiologist,Linguistic,13.5,2.12,Good
S312,Audiologist,Linguistic,12.75,2.12,Good
S313,Audiologist,Interpersonal,12.75,2.12,Good
S314,Audiologist,Interpersonal,13.25,2.12,Good
S315,Audiologist,Logical_Mathematical,12.75,2.12,Good
S316,Audiologist,Linguistic,13.62,2.12,Good
S317,Audiologist,Linguistic,13.12,2.12,Good
S318,Audiologist,Interpersonal,12.75,2.12,Good
S319,Audiologist,Interpersonal,13.38,2.12,Good
S320,Audiologist,Linguistic,13.0,2.12,Good
S321,Audiologist,Logical_Mathematical,12.25,2.12,Good
S322,Audiologist,Logical_Mathematical,13.12,2.12,Good
S323,Audiologist,Logical_Mathematical,14.25,2.12,Good
S324,Audiologist,Linguistic,13.25,2.12,Good
S325,Audiologist,Linguistic,12.38,2.12,Good
S326,Audiologist,Linguistic,13.0,2.12,Good
S327,Audiologist,Logical_Mathematical,13.38,2.12,Good
S328,Audiologist,Logical_Mathematical,14.0,2.12,Good
S329,Audiologist,Logical_Mathematical,13.25,2.12,Good
S330,Audiologist,Logical_Mathematical,13.88,2.12,Good
S331,Audiologist,Linguistic,13.62,2.12,Good
S332,Audiologist,Logical_Mathematical,13.5,2.12,Good
S333,Audiologist,Logical_Mathematical,13.25,2.12,Good
S334,Audiologist,Logical_Mathematical,13.38,2.12,Good
S335,Audiologist,Logical_Mathematical,13.5,2.12,Good
S336,Audiologist,Logical_Mathematical,14.0,2.12,Good
S337,Audiologist,Linguistic,13.88,2.12,Good
S338,Audiologist,Logical_Mathematical,13.25,2.12,Good
S339,Audiologist,Logical_Mathematical,13.62,2.12,Good
S340,Audiologist,Logical_Mathematical,13.75,2.12,Good
S341,Audiologist,Logical_Mathematical,13.88,2.12,Good
S342,Audiologist,Logical_Mathematical,13.5,2.12,Good
S343,Audiologist,Logical_Mathematical,13.38,2.12,Good
S344,Audiologist,Linguistic,13.75,2.12,Good
S345,Audiologist,Logical_Mathematical,13.38,2.12,Good
S346,Audiologist,Logical_Mathematical,13.75,2.12,Good
S347,Audiologist,Logical_Mathematical,13.38,2.12,Good
S348,Audiologist,Logical_Mathematical,13.5,2.12,Good
S349,Audiologist,Logical_Mathematical,13.88,2.12,Good
S350,Audiologist,Linguistic,14.0,2.12,Good
S351,Sound editor,Musical,12.62,2.12,Good
S352,Sound editor,Naturalist,12.38,2.12,Good
S353,Sound editor,Naturalist,13.25,2.12,Good
S354,Sound editor,Logical_Mathematical,13.5,2.12,Good
S355,Sound editor,Musical,14.12,2.12,Good
S356,Sound editor,Musical,14.12,2.12,Good
S357,Sound editor,Naturalist,12.75,2.12,Good
S358,Sound editor,Naturalist,13.0,2.12,Good
S359,Sound editor,Logical_Mathematical,12.62,2.12,Good
S360,Sound editor,Logical_Mathematical,12.62,2.12,Good
S361,Sound editor,Logical_Mathematical,12.62,2.12,Good
S362,Sound editor,Logical_Mathematical,12.88,2.12,Good
S363,Sound editor,Naturalist,12.75,2.12,Good
S364,Sound editor,Naturalist,13.12,2.12,Good
S365,Sound editor,Naturalist,13.5,2.12,Good
S366,Sound editor,Musical,13.88,2.12,Good
S367,Sound editor,Musical,13.5,2.12,Good
S368,Sound editor,Musical,13.75,2.12,Good
S369,Sound editor,Naturalist,12.12,2.12,Good
S370,Sound editor,Naturalist,12.12,2.12,Good
S371,Sound editor,Naturalist,12.5,2.12,Good
S372,Sound editor,Naturalist,12.75,2.12,Good
S373,Sound editor,Naturalist,13.25,2.12,Good
S374,Sound editor,Logical_Mathematical,13.38,2.12,Good
S375,Sound editor,Logical_Mathematical,13.5,2.12,Good
S376,Sound editor,Logical_Mathematical,14.25,2.12,Good
S377,Sound editor,Musical,13.62,2.12,Good
S378,Sound editor,Musical,14.0,2.12,Good
S379,Sound editor,Logical_Mathematical,12.62,2.12,Good
S380,Sound editor,Logical_Mathematical,12.75,2.12,Good
S381,Sound editor,Logical_Mathematical,13.88,2.12,Good
S382,Sound editor,Logical_Mathematical,13.62,2.12,Good
S383,Sound editor,Naturalist,13.75,2.12,Good
S384,Sound editor,Musical,13.88,2.12,Good
S385,Sound editor,Logical_Mathematical,13.62,2.12,Good
S386,Sound editor,Logical_Mathematical,13.75,2.12,Good
S387,Sound editor,Naturalist,13.5,2.12,Good
S388,Sound editor,Naturalist,13.62,2.12,Good
S389,Sound editor,Musical,13.75,2.12,Good
S390,Sound editor,Logical_Mathematical,13.62,2.12,Good
S391,Sound editor,Naturalist,13.0,2.12,Good
S392,Sound editor,Naturalist,13.25,2.12,Good
S393,Sound editor,Naturalist,13.88,2.12,Good
S394,Sound editor,Musical,13.25,2.12,Good
S395,Sound editor,Musical,13.88,2.12,Good
S396,Sound editor,Logical_Mathematical,13.88,2.12,Good
S397,Sound editor,Naturalist,13.62,2.12,Good
S398,Sound editor,Naturalist,13.88,2.12,Good
S399,Sound editor,Musical,14.0,2.12,Good
S400,Sound editor,Logical_Mathematical,12.88,2.12,Good
S401,Music teacher,Musical,12.88,2.12,Good
S402,Music teacher,Interpersonal,13.25,2.12,Good
S403,Music teacher,Interpersonal,13.62,2.12,Good
S404,Music teacher,Musical,13.25,2.12,Good
S405,Music teacher,Musical,14.0,2.12,Good
S406,Music teacher,Linguistic,14.62,2.12,Good
S407,Music teacher,Interpersonal,12.75,2.12,Good
S408,Music teacher,Interpersonal,12.75,2.12,Good
S409,Music teacher,Musical,12.88,2.12,Good
S410,Music teacher,Musical,13.75,2.12,Good
S411,Music teacher,Linguistic,14.0,2.12,Good
S412,Music teacher,Linguistic,14.38,2.12,Good
S413,Music teacher,Musical,13.5,2.12,Good
S414,Music teacher,Musical,13.25,2.12,Good
S415,Music teacher,Interpersonal,12.88,2.12,Good
S416,Music teacher,Interpersonal,13.12,2.12,Good
S417,Music teacher,Linguistic,13.88,2.12,Good
S418,Music teacher,Linguistic,14.75,2.12,Good
S419,Music teacher,Interpersonal,12.62,2.12,Good
S420,Music teacher,Interpersonal,13.0,2.12,Good
S421,Music teacher,Linguistic,13.88,2.12,Good
S422,Music teacher,Linguistic,14.5,2.12,Good
S423,Music teacher,Interpersonal,13.38,2.12,Good
S424,Music teacher,Interpersonal,12.62,2.12,Good
S425,Music teacher,Musical,12.62,2.12,Good
S426,Music teacher,Musical,13.38,2.12,Good
S427,Music teacher,Interpersonal,13.25,2.12,Good
S428,Music teacher,Interpersonal,13.75,2.12,Good
S429,Music teacher,Interpersonal,13.88,2.12,Good
S430,Music teacher,Linguistic,14.38,2.12,Good
S431,Music teacher,Musical,13.25,2.12,Good
S432,Music teacher,Linguistic,13.38,2.12,Good
S433,Music teacher,Musical,13.62,2.12,Good
S434,Music teacher,Interpersonal,13.38,2.12,Good
S435,Music teacher,Linguistic,13.62,2.12,Good
S436,Music teacher,Linguistic,13.88,2.12,Good
S437,Music teacher,Musical,13.75,2.12,Good
S438,Music teacher,Linguistic,14.25,2.12,Good
S439,Music teacher,Interpersonal,12.88,2.12,Good
S440,Music teacher,Interpersonal,12.88,2.12,Good
S441,Music teacher,Linguistic,13.5,2.12,Good
S442,Music teacher,Linguistic,13.88,2.12,Good
S443,Music teacher,Linguistic,13.88,2.12,Good
S444,Music teacher,Linguistic,13.25,2.12,Good
S445,Music teacher,Interpersonal,13.38,2.12,Good
S446,Music teacher,Musical,13.88,2.12,Good
S447,Music teacher,Linguistic,14.0,2.12,Good
S448,Music teacher,Linguistic,13.62,2.12,Good
S449,Music teacher,Interpersonal,12.62,2.12,Good
S450,Music teacher,Musical,13.0,2.12,Good
S451,Actuary,Intrapersonal,13.38,2.25,Good
S452,Actuary,Musical,13.88,2.25,Good
S453,Actuary,Musical,14.38,2.25,Good
S454,Actuary,Intrapersonal,14.88,2.25,Good
S455,Actuary,Logical_Mathematical,14.0,2.25,Good
S456,Actuary,Logical_Mathematical,14.88,2.25,Good
S457,Actuary,Musical,13.25,2.25,Good
S458,Actuary,Musical,14.5,2.25,Good
S459,Actuary,Intrapersonal,14.0,2.25,Good
S460,Actuary,Logical_Mathematical,14.38,2.25,Good
S461,Actuary,Logical_Mathematical,14.25,2.25,Good
S462,Actuary,Musical,15.0,2.25,Good
S463,Actuary,Interpersonal,13.38,2.25,Good
S464,Actuary,Intrapersonal,14.12,2.25,Good
S465,Actuary,Musical,13.75,2.25,Good
S466,Actuary,Musical,14.62,2.25,Good
S467,Actuary,Logical_Mathematical,14.12,2.25,Good
S468,Actuary,Logical_Mathematical,15.38,2.25,Good
S469,Actuary,Intrapersonal,13.5,2.25,Good
S470,Actuary,Musical,14.0,2.25,Good
S471,Actuary,Musical,13.62,2.25,Good
S472,Actuary,Logical_Mathematical,14.12,2.25,Good
S473,Actuary,Logical_Mathematical,14.62,2.25,Good
S474,Actuary,Intrapersonal,15.25,2.25,Good
S475,Actuary,Musical,12.5,2.25,Good
S476,Actuary,Musical,14.0,2.25,Good
S477,Actuary,Musical,14.0,2.25,Good
S478,Actuary,Musical,14.38,2.25,Good
S479,Actuary,Intrapersonal,14.12,2.25,Good
S480,Actuary,Logical_Mathematical,14.88,2.25,Good
S481,Actuary,Logical_Mathematical,13.38,2.25,Good
S482,Actuary,Musical,14.0,2.25,Good
S483,Actuary,Musical,13.88,2.25,Good
S484,Actuary,Intrapersonal,14.38,2.25,Good
S485,Actuary,Logical_Mathematical,13.88,2.25,Good
S486,Actuary,Logical_Mathematical,15.25,2.25,Good
S487,Actuary,Logical_Mathematical,13.25,2.25,Good
S488,Actuary,Musical,13.88,2.25,Good
S489,Actuary,Musical,14.25,2.25,Good
S490,Actuary,Interpersonal,15.12,2.25,Good
S491,Actuary,Intrapersonal,13.75,2.25,Good
S492,Actuary,Intrapersonal,13.62,2.25,Good
S493,Actuary,Musical,13.75,2.25,Good
S494,Actuary,Musical,14.88,2.25,Good
S495,Actuary,Interpersonal,14.5,2.25,Good
S496,Actuary,Musical,14.12,2.25,Good
S497,Actuary,Interpersonal,14.25,2.25,Good
S498,Actuary,Musical,14.12,2.25,Good
S499,Actuary,Logical_Mathematical,13.62,2.25,Good
S500,Actuary,Logical_Mathematical,13.88,2.25,Good
